module,lesson,lesson_number,file_name,url
Money Mindset,Introduction to Money Mindsets,Lesson-1,Money Mindset - Introduction to Money Mindsets.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=696149a430a3744c4903caadUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Cycle of Socialization,Lesson-2,Money Mindset_ Cycle of Socialization.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=696149a430a3744c4903caadUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Cycle of Liberation,Lesson-3,Money mindset_ Cycle of Liberation.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=696149a430a3744c4903caadUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Generational Legacies,Lesson-1,Money mindset_ Generational Legacies.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a21eb8ac1efda050bbeUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,First Gen Students,Lesson-2,Money Mindset_ First Gen Students.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a21eb8ac1efda050bbeUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Money and Relationships,Lesson-3,Money Mindset_ Money and Relationships.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a21eb8ac1efda050bbeUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Behavior That Prevent Progress,Lesson-4,Money Mindset_ Behavior That Prevent Progress.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a21eb8ac1efda050bbeUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Unpacking and Unlearning,Lesson-1,Money Mindset_ Unpacking and Unlearning.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a6daaf97182b503699cUnit&learningProgramId=68bb450695387cdca40c473c
Money Mindset,Conclusion,Lesson-2,Money Mindset Conclusion.txt,https://www.rep4finlit.org/path-player?courseid=explore-your-money-mindset&unit=69614a6daaf97182b503699cUnit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Just Start,Lesson-1,Building Healthy Habits_ Just Start.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae70fUnit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Tactics for Mindful Decision Making,Lesson-2,Building Healthy Habits_ Tactics for Mindful Decision Making.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae70fUnit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Creating New Habits,Lesson-3,Building Healthy Habits_ Creating New Habits.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae70fUnit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Student Loans,Lesson-1,Building Healthy habits_ Student Loans.pdf,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae710Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Navigating Financial Aid,Lesson-2,Navigating financial aid outline.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae710Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Setting Financial Goals,Lesson-3,Building Healthy Habits_ Setting Financial Goals.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae710Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Selecting a Financial Institution,Lesson-4,Building Healthy Habits_ Selecting a Financial Institution_ .txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae710Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Account Management Foundations,Lesson-1,Building Healthy Habits_ Account Management Foundations.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae711Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Avoiding Fees and Overdrafts,Lesson-2,Building Healtyhy Habits_ Avoiding Fees and Overdrafts.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae711Unit&learningProgramId=68bb450695387cdca40c473c
Building Healthy Habits,Using Payment Apps,Lesson-3,Building Healthy Habits_ Using Payment Apps.txt,https://www.rep4finlit.org/path-player?courseid=building-healthy-financial-habits&unit=69614b118dc158057c0ae711Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Give Yourself Grace,Lesson-2,Money Management_ Give Yourself Grace.txt,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a21Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Common Student Decisions,Lesson-3,Money Management_ Common Student Decisions.pdf,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a21Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Spending Plan Foundations,Lesson-1,Money Management_ Spending Plan Foundations.pdf,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a22Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Methods and Tools,Lesson-2,Money Management_ Methods and Tools.txt,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a22Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Saving Tips & Tricks,Lesson-3,Money Management_ Saving Tips & Tricks.txt,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a22Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Salary Negotiation,Lesson-1,_Money Management_ Salary Negotiation.txt,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a23Unit&learningProgramId=68bb450695387cdca40c473c
Money Management,Know Your Rights,Lesson-2,Money Management_ Know Your Rights.txt,https://www.rep4finlit.org/path-player?courseid=money-management&unit=69614c5224523a4f8c096a23Unit&learningProgramId=68bb450695387cdca40c473c
